X_m,Mach
0.00000000e+00,3.39151382e-01
5.01002010e-04,3.39813024e-01
1.00200402e-03,3.40474695e-01
1.50300609e-03,3.41136456e-01
2.00400804e-03,3.41798276e-01
2.50500999e-03,3.42460126e-01
3.00601195e-03,3.43122125e-01
3.50701390e-03,3.43784124e-01
4.00801608e-03,3.44446212e-01
4.50901827e-03,3.45108360e-01
5.01002045e-03,3.45770538e-01
5.51102264e-03,3.46432865e-01
6.01202482e-03,3.47095221e-01
6.51302701e-03,3.47757578e-01
7.01402919e-03,3.48420084e-01
7.51503138e-03,3.49082619e-01
8.01603310e-03,3.49745214e-01
8.51703528e-03,3.50407928e-01
9.01803747e-03,3.51070642e-01
9.51903965e-03,3.52414608e-01
1.00200418e-02,3.53939325e-01
1.05210440e-02,3.55464399e-01
1.10220462e-02,3.56989771e-01
1.15230484e-02,3.58515561e-01
1.20240506e-02,3.60041589e-01
1.25250528e-02,3.61567974e-01
1.30260549e-02,3.63094717e-01
1.35270571e-02,3.64621788e-01
1.40280593e-02,3.66149157e-01
1.45290615e-02,3.67676914e-01
1.50300637e-02,3.69204998e-01
1.55310659e-02,3.70733410e-01
1.60320681e-02,3.72262150e-01
1.65330693e-02,3.73791218e-01
1.70340706e-02,3.75320703e-01
1.75350718e-02,3.76901358e-01
1.80360731e-02,3.79063845e-01
1.85370743e-02,3.81226957e-01
1.90380756e-02,3.83390784e-01
1.95390768e-02,3.85555357e-01
2.00400781e-02,3.87720674e-01
2.05410793e-02,3.89886677e-01
2.10420806e-02,3.92053336e-01
2.15430818e-02,3.94220859e-01
2.20440831e-02,3.96389037e-01
2.25450844e-02,3.98558021e-01
2.30460856e-02,4.00727570e-01
2.35470869e-02,4.02898014e-01
2.40480881e-02,4.05069113e-01
2.45490894e-02,4.07240957e-01
2.50500906e-02,4.09958512e-01
2.55510919e-02,4.12853003e-01
2.60520931e-02,4.15748924e-01
2.65530944e-02,4.18646216e-01
2.70540956e-02,4.21544939e-01
2.75550969e-02,4.24445003e-01
2.80560981e-02,4.27346498e-01
2.85570994e-02,4.30249423e-01
2.90581007e-02,4.33153749e-01
2.95591019e-02,4.36059475e-01
3.00601032e-02,4.38966602e-01
3.05611044e-02,4.41875190e-01
3.10621057e-02,4.45321679e-01
3.15631069e-02,4.48911995e-01
