X_m,Pressure_Pa
0.00000000e+00,2.17943859e+05
5.01002010e-04,2.17957297e+05
1.00200402e-03,2.17970703e+05
1.50300609e-03,2.17984125e+05
2.00400804e-03,2.17997563e+05
2.50500999e-03,2.18010984e+05
3.00601195e-03,2.18024406e+05
3.50701390e-03,2.18037828e+05
4.00801608e-03,2.18051250e+05
4.50901827e-03,2.18064672e+05
5.01002045e-03,2.18078094e+05
5.51102264e-03,2.18091531e+05
6.01202482e-03,2.18104938e+05
6.51302701e-03,2.18118375e+05
7.01402919e-03,2.18131781e+05
7.51503138e-03,2.18145219e+05
8.01603310e-03,2.18158641e+05
8.51703528e-03,2.18172047e+05
9.01803747e-03,2.18185484e+05
9.51903965e-03,2.18074688e+05
1.00200418e-02,2.17931016e+05
1.05210440e-02,2.17787344e+05
1.10220462e-02,2.17643656e+05
1.15230484e-02,2.17499984e+05
1.20240506e-02,2.17356297e+05
1.25250528e-02,2.17212625e+05
1.30260549e-02,2.17068953e+05
1.35270571e-02,2.16925266e+05
1.40280593e-02,2.16781594e+05
1.45290615e-02,2.16637938e+05
1.50300637e-02,2.16494250e+05
1.55310659e-02,2.16350563e+05
1.60320681e-02,2.16206891e+05
1.65330693e-02,2.16063219e+05
1.70340706e-02,2.15919547e+05
1.75350718e-02,2.15768938e+05
1.80360731e-02,2.15539266e+05
1.85370743e-02,2.15309625e+05
1.90380756e-02,2.15079938e+05
1.95390768e-02,2.14850281e+05
2.00400781e-02,2.14620625e+05
2.05410793e-02,2.14390969e+05
2.10420806e-02,2.14161313e+05
2.15430818e-02,2.13931625e+05
2.20440831e-02,2.13701969e+05
2.25450844e-02,2.13472297e+05
2.30460856e-02,2.13242625e+05
2.35470869e-02,2.13012984e+05
2.40480881e-02,2.12783297e+05
2.45490894e-02,2.12553641e+05
2.50500906e-02,2.12236078e+05
2.55510919e-02,2.11890203e+05
2.60520931e-02,2.11544344e+05
2.65530944e-02,2.11198469e+05
2.70540956e-02,2.10852594e+05
2.75550969e-02,2.10506688e+05
2.80560981e-02,2.10160844e+05
2.85570994e-02,2.09814953e+05
2.90581007e-02,2.09469094e+05
2.95591019e-02,2.09123219e+05
3.00601032e-02,2.08777328e+05
3.05611044e-02,2.08431469e+05
3.10621057e-02,2.07985500e+05
3.15631069e-02,2.07513156e+05
3.20641100e-02,2.07040813e+05
3.25651132e-02,2.06568422e+05
3.30661163e-02,2.06096063e+05
3.35671194e-02,2.05623688e+05
3.40681225e-02,2.05151344e+05
3.45691256e-02,2.04678969e+05
3.50701287e-02,2.04206609e+05
3.55711319e-02,2.03734250e+05
3.60721350e-02,2.03129859e+05
3.65731381e-02,2.02501625e+05
3.70741412e-02,2.01873406e+05
3.75751443e-02,2.01245188e+05
3.80761474e-02,2.00616969e+05
3.85771506e-02,1.99988750e+05
3.90781537e-02,1.99360516e+05
3.95791568e-02,1.98732313e+05
4.00801599e-02,1.98006531e+05
4.05811630e-02,1.97212156e+05
4.10821661e-02,1.96417813e+05
4.15831693e-02,1.95623438e+05
4.20841724e-02,1.94829078e+05
4.25851755e-02,1.94034688e+05
4.30861786e-02,1.93240344e+05
4.35871817e-02,1.92337234e+05
4.40881848e-02,1.91407328e+05
4.45891879e-02,1.90477391e+05
4.50901911e-02,1.89547469e+05
4.55911942e-02,1.88617531e+05
4.60921973e-02,1.87659750e+05
4.65932004e-02,1.86625672e+05
4.70942035e-02,1.85591578e+05
4.75952066e-02,1.84557484e+05
4.80962098e-02,1.83523406e+05
4.85972129e-02,1.82426484e+05
4.90982160e-02,1.81306500e+05
4.95992191e-02,1.80186500e+05
5.01002222e-02,1.79066516e+05
5.06012253e-02,1.77875531e+05
5.11022285e-02,1.76684219e+05
5.16032316e-02,1.75492906e+05
5.21042347e-02,1.74245938e+05
5.26052378e-02,1.72993438e+05
5.31062409e-02,1.71719844e+05
5.36072440e-02,1.70407031e+05
5.41082472e-02,1.69081813e+05
5.46092503e-02,1.67716609e+05
5.51102534e-02,1.66335438e+05
5.56112565e-02,1.64933672e+05
5.61122596e-02,1.63493266e+05
5.66132627e-02,1.62192203e+05
5.71142659e-02,1.61047656e+05
5.76152690e-02,1.59933688e+05
5.81162721e-02,1.58831969e+05
5.86172752e-02,1.57724563e+05
5.91182783e-02,1.56610688e+05
5.96192814e-02,1.55475156e+05
6.01202846e-02,1.54334750e+05
6.06212877e-02,1.53153828e+05
6.11222908e-02,1.51956266e+05
6.16232939e-02,1.50751359e+05
6.21242970e-02,1.49471719e+05
6.26252964e-02,1.48192078e+05
6.31262958e-02,1.46912438e+05
6.36272952e-02,1.45537016e+05
6.41282946e-02,1.44151281e+05
6.46292940e-02,1.42765563e+05
6.51302934e-02,1.41372641e+05
6.56312928e-02,1.39799203e+05
6.61322922e-02,1.38225750e+05
6.66332915e-02,1.36652313e+05
6.71342909e-02,1.35078875e+05
6.76352903e-02,1.33375828e+05
6.81362897e-02,1.31409297e+05
6.86372891e-02,1.29442750e+05
6.91382885e-02,1.27476219e+05
6.96392879e-02,1.25509680e+05
7.01402873e-02,1.23543148e+05
7.06412867e-02,1.21637930e+05
7.11422861e-02,1.19776000e+05
7.16432855e-02,1.17914078e+05
7.21442848e-02,1.16052156e+05
7.26452842e-02,1.14190203e+05
7.31462836e-02,1.12328289e+05
7.36472830e-02,1.10466352e+05
7.41482824e-02,1.08894984e+05
7.46492818e-02,1.07508063e+05
7.51502812e-02,1.06121125e+05
7.56512806e-02,1.04734180e+05
7.61522800e-02,1.03347250e+05
7.66532794e-02,1.01960313e+05
7.71542788e-02,1.00573375e+05
7.76552781e-02,9.91864453e+04
7.81562775e-02,9.78114297e+04
7.86572769e-02,9.65921406e+04
7.91582763e-02,9.53728438e+04
7.96592757e-02,9.41535469e+04
8.01602751e-02,9.29342500e+04
8.06612745e-02,9.17149531e+04
8.11622739e-02,9.04956563e+04
8.16632733e-02,8.92763672e+04
8.21642727e-02,8.80570625e+04
8.26652721e-02,8.68377656e+04
8.31662714e-02,8.56184766e+04
8.36672708e-02,8.45008047e+04
8.41682702e-02,8.34583125e+04
8.46692696e-02,8.24158203e+04
8.51702690e-02,8.13733516e+04
8.56712684e-02,8.03308594e+04
8.61722678e-02,7.92883750e+04
8.66732672e-02,7.82458906e+04
8.71742666e-02,7.72034063e+04
8.76752660e-02,7.61609219e+04
8.81762654e-02,7.51184375e+04
8.86772648e-02,7.40759531e+04
8.91782641e-02,7.30334688e+04
8.96792635e-02,7.19909844e+04
9.01802629e-02,7.11048750e+04
9.06812623e-02,7.02606094e+04
9.11822617e-02,6.94163438e+04
9.16832611e-02,6.85720859e+04
9.21842605e-02,6.77278125e+04
9.26852599e-02,6.68835469e+04
9.31862593e-02,6.60392891e+04
9.36872587e-02,6.51950234e+04
9.41882581e-02,6.43507617e+04
9.46892574e-02,6.35064961e+04
9.51902568e-02,6.26622305e+04
9.56912562e-02,6.18179688e+04
9.61922556e-02,6.09737070e+04
9.66932550e-02,6.01294375e+04
9.71942544e-02,5.92851719e+04
9.76952538e-02,5.84971797e+04
9.81962532e-02,5.78482695e+04
9.86972526e-02,5.71993516e+04
9.91982520e-02,5.65504453e+04
9.96992514e-02,5.59015273e+04
1.00200251e-01,5.52526211e+04
1.00701250e-01,5.46037070e+04
1.01202250e-01,5.39547969e+04
1.01703249e-01,5.33058789e+04
1.02204248e-01,5.26569688e+04
1.02705248e-01,5.20080547e+04
1.03206247e-01,5.13591484e+04
1.03707246e-01,5.07102344e+04
1.04208246e-01,5.00613242e+04
1.04709245e-01,4.94124063e+04
1.05210245e-01,4.87634961e+04
1.05711244e-01,4.81145859e+04
1.06212243e-01,4.74656719e+04
1.06713243e-01,4.68864609e+04
1.07214242e-01,4.63944141e+04
1.07715242e-01,4.59023711e+04
1.08216241e-01,4.54103281e+04
1.08717240e-01,4.49182891e+04
1.09218240e-01,4.44262383e+04
1.09719239e-01,4.39341953e+04
1.10220239e-01,4.34421484e+04
1.10721238e-01,4.29501055e+04
1.11222237e-01,4.24580586e+04
1.11723237e-01,4.19660156e+04
1.12224236e-01,4.14739688e+04
1.12725236e-01,4.09819297e+04
1.13226235e-01,4.04898828e+04
1.13727234e-01,3.99978359e+04
1.14228234e-01,3.95057930e+04
1.14729233e-01,3.90137500e+04
1.15230232e-01,3.85217031e+04
1.15731232e-01,3.80296602e+04
1.16232231e-01,3.75992852e+04
1.16733231e-01,3.72218008e+04
1.17234230e-01,3.68443242e+04
1.17735229e-01,3.64668398e+04
1.18236229e-01,3.60893594e+04
1.18737228e-01,3.57118750e+04
1.19238228e-01,3.53343945e+04
1.19739227e-01,3.49569141e+04
1.20240226e-01,3.45794336e+04
1.20741226e-01,3.42019531e+04
1.21242225e-01,3.38244727e+04
1.21743225e-01,3.34469922e+04
1.22244224e-01,3.30695078e+04
1.22745223e-01,3.26920273e+04
1.23246223e-01,3.23145469e+04
1.23747222e-01,3.19370684e+04
1.24248222e-01,3.15595840e+04
1.24749221e-01,3.11821035e+04
1.25250220e-01,3.08046230e+04
1.25751227e-01,3.04761797e+04
